race_year,rain,driverId,qualification_position,constructor,circuit,type_circuit,driver,race_month,race_day,age_at_gp_in_days,days_since_first_race,circuit_nationality,driver_nationality,constructor_nationality,driver_home,constructor_home,laps,deviation_from_median
1993,1,102,3,McLaren,Autódromo José Carlos Pace,Race circuit,senna,3,28,12060,3290,BRA,BRA,GBR,1,0,71,-45436.0
1993,1,30,4,Benetton,Autódromo José Carlos Pace,Race circuit,michael_schumacher,3,28,8850,581,BRA,DEU,ITA,0,0,71,0.0
1993,1,65,12,Team Lotus,Autódromo José Carlos Pace,Race circuit,herbert,3,28,10503,1463,BRA,GBR,GBR,0,0,71,1121.0
1993,1,71,2,Williams,Autódromo José Carlos Pace,Race circuit,damon_hill,3,28,11880,329,BRA,GBR,GBR,0,0,71,-28811.0
1993,1,87,10,Ligier,Autódromo José Carlos Pace,Race circuit,blundell,3,28,9851,749,BRA,GBR,FRA,0,0,71,6691.0
1993,1,102,4,McLaren,Donington Park,Race circuit,senna,4,11,12074,3304,GBR,BRA,GBR,0,1,76,-41600.0
1993,1,71,2,Williams,Donington Park,Race circuit,damon_hill,4,11,11894,343,GBR,GBR,GBR,1,1,76,41600.0
1993,1,117,1,Williams,Autodromo Enzo e Dino Ferrari,Race circuit,prost,4,25,13940,4851,ITA,FRA,GBR,0,0,61,-16205.0
1993,1,30,3,Benetton,Autodromo Enzo e Dino Ferrari,Race circuit,michael_schumacher,4,25,8878,609,ITA,DEU,ITA,0,1,61,16205.0
1993,0,102,3,McLaren,Circuit de Barcelona-Catalunya,Race circuit,senna,5,9,12102,3332,ESP,BRA,GBR,0,0,65,0.0
1993,0,117,1,Williams,Circuit de Barcelona-Catalunya,Race circuit,prost,5,9,13954,4865,ESP,FRA,GBR,0,0,65,-16873.0
1993,0,30,4,Benetton,Circuit de Barcelona-Catalunya,Race circuit,michael_schumacher,5,9,8892,623,ESP,DEU,ITA,0,0,65,10252.0
1993,0,102,3,McLaren,Circuit de Monaco,Street circuit,senna,5,23,12116,3346,MCO,BRA,GBR,0,0,78,-52118.0
1993,0,55,5,Ferrari,Circuit de Monaco,Street circuit,alesi,5,23,10573,1414,MCO,FRA,ITA,0,0,78,11244.0
1993,0,71,4,Williams,Circuit de Monaco,Street circuit,damon_hill,5,23,11936,385,MCO,GBR,GBR,0,0,78,0.0
1993,0,117,1,Williams,Circuit Gilles Villeneuve,Street circuit,prost,6,13,13989,4900,CAN,FRA,GBR,0,0,69,-14527.0
1993,0,30,3,Benetton,Circuit Gilles Villeneuve,Street circuit,michael_schumacher,6,13,8927,658,CAN,DEU,ITA,0,0,69,0.0
1993,0,71,2,Williams,Circuit Gilles Villeneuve,Street circuit,damon_hill,6,13,11957,406,CAN,GBR,GBR,0,0,69,38158.0
1993,0,102,5,McLaren,Circuit de Nevers Magny-Cours,Race circuit,senna,7,4,12158,3388,FRA,BRA,GBR,0,0,72,11196.0
1993,0,117,2,Williams,Circuit de Nevers Magny-Cours,Race circuit,prost,7,4,14010,4921,FRA,FRA,GBR,1,0,72,-21209.0
1993,0,30,7,Benetton,Circuit de Nevers Magny-Cours,Race circuit,michael_schumacher,7,4,8948,679,FRA,DEU,ITA,0,0,72,0.0
1993,0,71,1,Williams,Circuit de Nevers Magny-Cours,Race circuit,damon_hill,7,4,11978,427,FRA,GBR,GBR,0,0,72,-20867.0
1993,0,84,3,Ligier,Circuit de Nevers Magny-Cours,Race circuit,brundle,7,4,12452,3388,FRA,GBR,FRA,0,1,72,12586.0
1993,0,117,1,Williams,Silverstone Circuit,Race circuit,prost,7,11,14017,4928,GBR,FRA,GBR,0,1,59,-42571.0
1993,0,119,5,Benetton,Silverstone Circuit,Race circuit,patrese,7,11,14330,5894,GBR,ITA,ITA,0,0,59,34911.0
1993,0,30,3,Benetton,Silverstone Circuit,Race circuit,michael_schumacher,7,11,8955,686,GBR,DEU,ITA,0,0,59,-34911.0
1993,0,65,7,Team Lotus,Silverstone Circuit,Race circuit,herbert,7,11,10608,1568,GBR,GBR,GBR,1,1,59,35836.0
1993,0,102,4,McLaren,Hockenheimring,Race circuit,senna,7,25,12179,3409,DEU,BRA,GBR,0,0,45,0.0
1993,0,117,1,Williams,Hockenheimring,Race circuit,prost,7,25,14031,4942,DEU,FRA,GBR,0,0,45,-68229.0
1993,0,119,7,Benetton,Hockenheimring,Race circuit,patrese,7,25,14344,5908,DEU,ITA,ITA,0,0,45,23287.0
1993,0,30,3,Benetton,Hockenheimring,Race circuit,michael_schumacher,7,25,8969,700,DEU,DEU,ITA,1,0,45,-51565.0
1993,0,55,10,Ferrari,Hockenheimring,Race circuit,alesi,7,25,10636,1477,DEU,FRA,ITA,0,0,45,27612.0
1993,0,77,9,Ferrari,Hockenheimring,Race circuit,berger,7,25,12386,3262,DEU,AUT,ITA,0,0,45,26525.0
1993,0,87,5,Ligier,Hockenheimring,Race circuit,blundell,7,25,9970,868,DEU,GBR,FRA,0,0,45,-8880.0
1993,0,119,5,Benetton,Hungaroring,Race circuit,patrese,8,15,14365,5929,HUN,ITA,ITA,0,0,77,0.0
1993,0,71,2,Williams,Hungaroring,Race circuit,damon_hill,8,15,12020,469,HUN,GBR,GBR,0,0,77,-71915.0
1993,0,77,6,Ferrari,Hungaroring,Race circuit,berger,8,15,12407,3283,HUN,AUT,ITA,0,0,77,6127.0
