date,weather
1983-03-27,Sunny
1983-04-17,Overcast
1983-05-01,Sunny
1983-05-15,Changeable
1983-05-22,Cloudy
1983-06-05,Sunny
1983-06-12,Sunny
1983-07-16,Sunny
1983-08-07,Cloudy
1983-08-14,Sunny
1983-08-28,Overcast
1983-09-11,Sunny
1983-09-25,Sunny
1983-10-15,Sunny
1984-03-25,Sunny
1984-04-07,Cloudy
1984-04-29,Sunny
1984-05-06,Cloudy
1984-05-20,Overcast
1984-06-03,Rain
1984-06-17,Sunny
1984-06-24,Sunny
1984-07-08,Sunny
1984-07-22,Sunny
1984-08-05,Cloudy
1984-08-19,Sunny
1984-08-26,Sunny
1984-09-09,Sunny
1984-10-07,Cloudy
1984-10-21,Sunny
1985-04-07,Sunny
1985-04-21,Rain
1985-05-05,Overcast
1985-05-19,Changeable
1985-06-16,Overcast
1985-06-23,Sunny
1985-07-07,Sunny
1985-07-21,Overcast
1985-08-04,Overcast
1985-08-18,Overcast
1985-08-25,Cloudy
1985-09-08,Cloudy
1985-09-15,Very changeable
1985-10-06,Overcast
1985-10-19,Sunny
1985-11-03,Sunny
1986-03-23,Sunny
1986-04-13,Sunny
1986-04-27,Overcast
1986-05-11,Sunny
1986-05-25,Sunny
1986-06-15,Sunny
1986-06-22,Cloudy
1986-07-06,Overcast
1986-07-13,Cloudy
1986-07-27,Sunny
1986-08-10,Sunny
1986-08-17,Sunny
1986-09-07,Sunny
1986-09-21,Cloudy
1986-10-12,Sunny
1986-10-26,Overcast
1987-04-12,Sunny
1987-05-03,Overcast
1987-05-17,Overcast
1987-05-31,Sunny
1987-06-21,Overcast
1987-07-05,Sunny
1987-07-12,Cloudy
1987-07-26,Cloudy
1987-08-09,Sunny
1987-08-16,Sunny
1987-09-06,Sunny
1987-09-20,Sunny
1987-09-27,Overcast
1987-10-18,Sunny
1987-11-01,Overcast
1987-11-15,Sunny
1988-04-03,Cloudy
1988-05-01,Overcast
1988-05-15,Cloudy
1988-05-29,Overcast
1988-06-12,Sunny
1988-06-19,Sunny
1988-07-03,Cloudy
1988-07-10,Rain
1988-07-24,Changeable
1988-08-07,Cloudy
1988-08-28,Overcast
1988-09-11,Sunny
1988-09-25,Sunny
1988-10-02,Sunny
1988-10-30,Changeable
1988-11-13,Overcast
1989-03-26,Sunny
1989-04-23,Sunny
1989-05-07,Sunny
1989-05-28,Sunny
1989-06-04,Sunny
1989-06-18,Rain
1989-07-09,Sunny
1989-07-16,Cloudy
1989-07-30,Overcast
1989-08-13,Overcast
1989-08-27,Rain
1989-09-10,Sunny
1989-09-24,Sunny
1989-10-01,Sunny
1989-10-22,Overcast
1989-11-05,Rain
1990-03-11,Overcast
1990-03-25,Sunny
1990-05-13,Sunny
1990-05-27,Overcast
1990-06-10,Changeable
1990-06-24,Overcast
1990-07-08,Sunny
1990-07-15,Cloudy
1990-07-29,Sunny
1990-08-12,Sunny
1990-08-26,Overcast
1990-09-09,Sunny
1990-09-23,Cloudy
1990-09-30,Cloudy
1990-10-21,Sunny
1990-11-04,Sunny
1991-03-10,Sunny
1991-03-24,Changeable
1991-04-28,Very changeable
1991-05-12,Cloudy
1991-06-02,Sunny
1991-06-16,Overcast
1991-07-07,Sunny
1991-07-14,Sunny
1991-07-28,Sunny
1991-08-11,Sunny
1991-08-25,Sunny
1991-09-08,Cloudy
1991-09-22,Sunny
1991-09-29,Changeable
1991-10-20,Sunny
1991-11-03,Rain
1992-03-01,Overcast
1992-03-22,Sunny
1992-04-05,Cloudy
1992-05-03,Rain
1992-05-17,Sunny
1992-05-31,Cloudy
1992-06-14,Overcast
1992-07-05,Changeable
1992-07-12,Overcast
1992-07-26,Sunny
1992-08-16,Sunny
1992-08-30,Changeable
1992-09-13,Sunny
1992-09-27,Cloudy
1992-10-25,Cloudy
1992-11-08,Overcast
1993-03-14,Changeable
1993-03-28,Very changeable
1993-04-11,Rain
1993-04-25,Changeable
1993-05-09,Overcast
1993-05-23,Sunny
1993-06-13,Sunny
1993-07-04,Sunny
1993-07-11,Cloudy
1993-07-25,Cloudy
1993-08-15,Sunny
1993-08-29,Sunny
1993-09-12,Sunny
1993-09-26,Sunny
1993-10-24,Very changeable
1993-11-07,Cloudy
1994-03-27,Cloudy
1994-04-17,Sunny
1994-05-01,Sunny
1994-05-15,Sunny
1994-05-29,Sunny
1994-06-12,Cloudy
1994-07-03,Sunny
1994-07-10,Sunny
1994-07-31,Sunny
1994-08-14,Sunny
1994-08-28,Cloudy
1994-09-11,Cloudy
1994-09-25,Cloudy
1994-10-16,Sunny
1994-11-06,Rain
1994-11-13,Cloudy
1995-03-26,Overcast
1995-04-09,Overcast
1995-04-30,Overcast
1995-05-14,Sunny
1995-05-28,Sunny
1995-06-11,Overcast
1995-07-02,Overcast
1995-07-16,Overcast
1995-07-30,Sunny
1995-08-13,Sunny
1995-08-27,Changeable
1995-09-10,Cloudy
1995-09-24,Sunny
1995-10-01,Changeable
1995-10-22,Sunny
1995-10-29,Changeable
1995-11-12,Sunny
1996-03-10,Sunny
1996-03-31,Changeable
1996-04-07,Sunny
1996-04-28,Overcast
1996-05-05,Sunny
1996-05-19,Changeable
1996-06-02,Rain
1996-06-16,Sunny
1996-06-30,Cloudy
1996-07-14,Cloudy
1996-07-28,Sunny
1996-08-11,Sunny
1996-08-25,Cloudy
1996-09-08,Sunny
1996-09-22,Sunny
1996-10-13,Sunny
1997-03-09,Overcast
1997-03-30,Overcast
1997-04-13,Sunny
1997-04-27,Overcast
1997-05-11,Rain
1997-05-25,Overcast
1997-06-15,Sunny
1997-06-29,Changeable
1997-07-13,Cloudy
1997-07-27,Sunny
1997-08-10,Sunny
1997-08-24,Very changeable
1997-09-07,Cloudy
1997-09-21,Sunny
1997-09-28,Sunny
1997-10-12,Cloudy
1997-10-26,Sunny
1998-03-08,Sunny
1998-03-29,Overcast
1998-04-12,Changeable
1998-04-26,Sunny
1998-05-10,Sunny
1998-05-24,Cloudy
1998-06-07,Overcast
1998-06-28,Cloudy
1998-07-12,Rain
1998-07-26,Sunny
1998-08-02,Overcast
1998-08-16,Cloudy
1998-08-30,Rain
1998-09-13,Cloudy
1998-09-27,Overcast
1998-11-01,Sunny
1999-03-07,Sunny
1999-04-11,Sunny
1999-05-02,Sunny
1999-05-16,Sunny
1999-05-30,Sunny
1999-06-13,Sunny
1999-06-27,Changeable
1999-07-11,Sunny
1999-07-25,Overcast
1999-08-01,Sunny
1999-08-15,Sunny
1999-08-29,Sunny
1999-09-12,Sunny
1999-09-26,Very changeable
1999-10-17,Sunny
1999-10-31,Cloudy
2000-03-12,Sunny 
2000-03-26,Cloudy
2000-04-09,Overcast
2000-04-23,Cloudy
2000-05-07,Cloudy
2000-05-21,Rainy 
2000-06-04,Sunny
2000-06-18,Changeable
2000-07-02,Sunny
2000-07-16,Cloudy
2000-07-30,Very changeable
2000-08-13,Sunny
2000-08-27,Changeable
2000-09-10,Sunny
2000-09-24,Changeable
2000-10-08,Changeable
2000-10-22,Sunny
2001-03-04,Overcast
2001-03-18,Changeable
2001-04-01,Very changeable
2001-04-15,Sunny
2001-04-29,Overcast
2001-05-13,Sunny
2001-05-27,Sunny
2001-06-10,Sunny
2001-06-24,Sunny
2001-07-01,Sunny
2001-07-15,Overcast
2001-07-29,Sunny
2001-08-19,Sunny
2001-09-02,Overcast
2001-09-16,Sunny
2001-09-30,Sunny
2001-10-14,Cloudy
2002-03-03,Sunny
2002-03-17,Sunny
2002-03-31,Sunny
2002-04-14,Sunny
2002-04-28,Sunny
2002-05-12,Sunny
2002-05-26,Sunny
2002-06-09,Sunny
2002-06-23,Sunny
2002-07-07,Changeable
2002-07-21,Sunny
2002-07-28,Sunny
2002-08-18,Sunny
2002-09-01,Sunny
2002-09-15,Sunny
2002-09-29,Sunny
2002-10-13,Sunny
2003-03-09,Cloudy
2003-03-23,Sunny
2003-04-06,Rainy
2003-04-20,Cloudy
2003-05-04,Sunny
2003-05-18,Changeable
2003-06-01,Sunny
2003-06-15,Cloudy
2003-06-29,Sunny
2003-07-06,Overcast
2003-07-20,Cloudy
2003-08-03,Sunny 
2003-08-24,Sunny 
2003-09-14,Sunny 
2003-09-28,Changeable
2003-10-12,Overcast
2004-03-07,Overcast
2004-03-21,Changeable
2004-04-04,Sunny 
2004-04-25,Sunny 
2004-05-09,Sunny 
2004-05-23,Sunny 
2004-05-30,Sunny 
2004-06-13,Sunny 
2004-06-20,Sunny 
2004-07-04,Sunny 
2004-07-11,Overcast
2004-07-25,Sunny 
2004-08-15,Cloudy
2004-08-29,Cloudy
2004-09-12,Changeable
2004-09-26,Sunny 
2004-10-10,Cloudy
2004-10-24,Changeable
2005-03-06,Overcast
2005-03-20,Sunny 
2005-04-03,Sunny 
2005-04-24,Overcast
2005-05-08,Sunny 
2005-05-22,Sunny 
2005-05-29,Cloudy
2005-06-12,Sunny 
2005-06-19,Sunny 
2005-07-03,Sunny 
2005-07-10,Sunny 
2005-07-24,Overcast
2005-07-31,Sunny 
2005-08-21,Sunny 
2005-09-04,Sunny 
2005-09-11,Overcast
2005-09-25,Overcast
2005-10-09,Sunny 
2005-10-16,Sunny 
2006-03-12,Sunny
2006-03-19,Overcast
2006-04-02,Overcast
2006-04-23,Sunny
2006-05-07,Sunny
2006-05-14,Sunny
2006-05-28,Sunny
2006-06-11,Sunny
2006-06-25,Sunny
2006-07-02,Sunny
2006-07-16,Sunny
2006-07-30,Sunny
2006-08-06,Changeable
2006-08-27,Sunny
2006-09-10,Sunny
2006-10-01,Changeable
2006-10-08,Sunny
2006-10-22,Sunny
2007-03-18,Sunny
2007-04-08,Sunny
2007-04-15,Sunny
2007-05-13,Sunny
2007-05-27,Cloudy
2007-06-10,Sunny
2007-06-17,Cloudy
2007-07-01,Overcast
2007-07-08,Cloudy
2007-07-22,Changeable
2007-08-05,Sunny
2007-08-26,Sunny
2007-09-09,Sunny
2007-09-16,Sunny
2007-09-30,Rain
2007-10-07,Changeable
2007-10-21,Sunny
2008-03-16,Sunny
2008-03-23,Cloudy
2008-04-06,Sunny
2008-04-27,Sunny
2008-05-11,Cloudy
2008-05-25,Changeable
2008-06-08,Cloudy
2008-06-22,Overcast
2008-07-06,Rain
2008-07-20,Cloudy
2008-08-03,Sunny
2008-08-24,Sunny
2008-09-07,Very changeable
2008-09-14,Rain
2008-09-28,Night
2008-10-12,Overcast
2008-10-19,Overcast
2008-11-02,Changeable
2009-03-29,Sunny
2009-04-05,Very changeable
2009-04-19,Rain
2009-04-26,Sunny
2009-05-10,Sunny
2009-05-24,Sunny
2009-06-07,Sunny
2009-06-21,Overcast
2009-07-12,Cloudy
2009-07-26,Sunny
2009-08-23,Sunny
2009-08-30,Cloudy
2009-09-13,Sunny
2009-09-27,Night
2009-10-04,Sunny
2009-10-18,Cloudy
2009-11-01,Night
2010-03-14,Sunny
2010-03-28,Changeable
2010-04-04,Cloudy
2010-04-18,Changeable
2010-05-09,Cloudy
2010-05-16,Sunny
2010-05-30,Changeable
2010-06-13,Sunny
2010-06-27,Sunny
2010-07-11,Sunny
2010-07-25,Overcast
2010-08-01,Sunny
2010-08-29,Very changeable
2010-09-12,Sunny
2010-09-26,Night
2010-10-10,Cloudy
2010-10-24,Rain
2010-11-07,Sunny
2010-11-14,Night
2011-03-27,Sunny
2011-04-10,Sunny
2011-04-17,Sunny
2011-05-08,Sunny
2011-05-22,Sunny
2011-05-29,Sunny
2011-06-12,Changeable
2011-06-26,Sunny
2011-07-10,Overcast
2011-07-24,Overcast
2011-07-31,Changeable
2011-08-28,Cloudy
2011-09-11,Sunny
2011-09-25,Night
2011-10-09,Sunny
2011-10-16,Cloudy
2011-10-30,Sunny
2011-11-13,Night
2011-11-27,Cloudy
2012-03-18,Sunny
2012-03-25,Changeable
2012-04-15,Overcast
2012-04-22,Cloudy
2012-05-13,Sunny
2012-05-27,Cloudy
2012-06-10,Sunny
2012-06-24,Sunny
2012-07-08,Cloudy
2012-07-22,Cloudy
2012-07-29,Sunny
2012-09-02,Cloudy
2012-09-09,Sunny
2012-09-23,Night
2012-10-07,Sunny
2012-10-14,Overcast
2012-10-28,Overcast
2012-11-04,Night
2012-11-18,Sunny
2012-11-25,Changeable
2013-03-17,Overcast
2013-03-24,Overcast
2013-04-14,Sunny
2013-04-21,Sunny
